agency_cd site_no datetime tz_cd 151782_00062 151782_00062_cd
5s 15s 20d 6s 14n 10s
USGS 12452000 2019-10-10 00:00 PDT 1096.51 A
USGS 12452000 2019-10-10 00:15 PDT 1096.52 A
USGS 12452000 2019-10-10 00:30 PDT 1096.54 A
USGS 12452000 2019-10-10 00:45 PDT 1096.52 A
USGS 12452000 2019-10-10 01:00 PDT 1096.52 A
USGS 12452000 2019-10-10 01:15 PDT 1096.53 A
USGS 12452000 2019-10-10 01:30 PDT 1096.51 A
USGS 12452000 2019-10-10 01:45 PDT 1096.51 A
USGS 12452000 2019-10-10 02:00 PDT 1096.52 A
USGS 12452000 2019-10-10 02:15 PDT 1096.50 A
USGS 12452000 2019-10-10 02:30 PDT 1096.54 A
USGS 12452000 2019-10-10 02:45 PDT 1096.52 A
USGS 12452000 2019-10-10 03:00 PDT 1096.50 A
USGS 12452000 2019-10-10 03:15 PDT 1096.51 A
USGS 12452000 2019-10-10 03:30 PDT 1096.50 A
USGS 12452000 2019-10-10 03:45 PDT 1096.51 A
USGS 12452000 2019-10-10 04:00 PDT 1096.51 A
USGS 12452000 2019-10-10 04:15 PDT 1096.49 A
USGS 12452000 2019-10-10 04:30 PDT 1096.49 A
USGS 12452000 2019-10-10 04:45 PDT 1096.51 A
USGS 12452000 2019-10-10 05:00 PDT 1096.51 A
USGS 12452000 2019-10-10 05:15 PDT 1096.50 A
USGS 12452000 2019-10-10 05:30 PDT 1096.51 A
USGS 12452000 2019-10-10 05:45 PDT 1096.46 A
USGS 12452000 2019-10-10 06:00 PDT 1096.51 A
USGS 12452000 2019-10-10 06:15 PDT 1096.48 A
USGS 12452000 2019-10-10 06:30 PDT 1096.49 A
USGS 12452000 2019-10-10 06:45 PDT 1096.50 A
USGS 12452000 2019-10-10 07:00 PDT 1096.47 A
USGS 12452000 2019-10-10 07:15 PDT 1096.50 A
USGS 12452000 2019-10-10 07:30 PDT 1096.49 A
USGS 12452000 2019-10-10 07:45 PDT 1096.49 A
USGS 12452000 2019-10-10 08:00 PDT 1096.47 A
USGS 12452000 2019-10-10 08:15 PDT 1096.49 A
USGS 12452000 2019-10-10 08:30 PDT 1096.46 A
USGS 12452000 2019-10-10 08:45 PDT 1096.48 A
USGS 12452000 2019-10-10 09:00 PDT 1096.49 A
USGS 12452000 2019-10-10 09:15 PDT 1096.46 A
USGS 12452000 2019-10-10 09:30 PDT 1096.49 A
USGS 12452000 2019-10-10 09:45 PDT 1096.45 A
USGS 12452000 2019-10-10 10:00 PDT 1096.47 A
USGS 12452000 2019-10-10 10:15 PDT 1096.47 A
USGS 12452000 2019-10-10 10:30 PDT 1096.46 A
USGS 12452000 2019-10-10 10:45 PDT 1096.47 A
USGS 12452000 2019-10-10 11:00 PDT 1096.46 A
USGS 12452000 2019-10-10 11:15 PDT 1096.46 A
USGS 12452000 2019-10-10 11:30 PDT 1096.45 A
USGS 12452000 2019-10-10 11:45 PDT 1096.48 A
USGS 12452000 2019-10-10 12:00 PDT 1096.44 A
USGS 12452000 2019-10-10 12:15 PDT 1096.47 A
USGS 12452000 2019-10-10 12:30 PDT 1096.44 A
USGS 12452000 2019-10-10 12:45 PDT 1096.44 A
USGS 12452000 2019-10-10 13:00 PDT 1096.47 A
USGS 12452000 2019-10-10 13:15 PDT 1096.44 A
USGS 12452000 2019-10-10 13:30 PDT 1096.46 A
USGS 12452000 2019-10-10 13:45 PDT 1096.44 A
USGS 12452000 2019-10-10 14:00 PDT 1096.44 A
USGS 12452000 2019-10-10 14:15 PDT 1096.44 A
USGS 12452000 2019-10-10 14:30 PDT 1096.45 A
USGS 12452000 2019-10-10 14:45 PDT 1096.43 A
USGS 12452000 2019-10-10 15:00 PDT 1096.44 A
USGS 12452000 2019-10-10 15:15 PDT 1096.43 A
USGS 12452000 2019-10-10 15:30 PDT 1096.42 A
USGS 12452000 2019-10-10 15:45 PDT 1096.46 A
USGS 12452000 2019-10-10 16:00 PDT 1096.43 A
USGS 12452000 2019-10-10 16:15 PDT 1096.43 A
USGS 12452000 2019-10-10 16:30 PDT 1096.42 A
USGS 12452000 2019-10-10 16:45 PDT 1096.42 A
USGS 12452000 2019-10-10 17:00 PDT 1096.44 A
